type,objet,schema,description,severity,impact,fichiers_concernes
MIGRATION_NON_APPLIQUEE,20251226170000_m01_add_budget_columns,public,"Migration M01 présente dans supabase/migrations/ mais absente de migration_logs (pas d'historique d'application)",HIGH,fonctionnel - colonnes budget tickets manquantes,"20251226170000_m01_add_budget_columns.sql, 20251226170000_m01_add_budget_columns_rollback.sql"
MIGRATION_NON_APPLIQUEE,20251226170100_m02_add_mode_diffusion,public,"Migration M02 présente dans supabase/migrations/ mais absente de migration_logs (pas d'historique d'application)",BLOCKER,fonctionnel + sécurité - mode_diffusion tickets manquant,"20251226170100_m02_add_mode_diffusion.sql, 20251226170100_m02_add_mode_diffusion_rollback.sql"
MIGRATION_NON_APPLIQUEE,20251226170200_m03_create_rpc_update_ticket_statut,public,"Migration M03 présente dans supabase/migrations/ mais absente de migration_logs",MEDIUM,fonctionnel - RPC update_ticket_statut absent,20251226170200_m03_create_rpc_update_ticket_statut.sql
MIGRATION_NON_APPLIQUEE,20251226170300_m04_create_rpc_diffuser_ticket,public,"Migration M04 présente dans supabase/migrations/ mais absente de migration_logs",HIGH,fonctionnel - RPC diffuser_ticket manquant,20251226170300_m04_create_rpc_diffuser_ticket.sql
MIGRATION_NON_APPLIQUEE,20251226170400_m05_fix_rpc_accept_ticket,public,"Migration M05 présente dans supabase/migrations/ mais absente de migration_logs",BLOCKER,fonctionnel - RPC accept_ticket_and_create_mission désynchronisé,"20251226170400_m05_fix_rpc_accept_ticket.sql, 20251226170400_m05_fix_rpc_accept_ticket_rollback.sql"
MIGRATION_NON_APPLIQUEE,20251226170500_m06_fix_view_tickets_visibles_entreprise,public,"Migration M06 présente dans supabase/migrations/ mais absente de migration_logs",HIGH,fonctionnel + sécurité - VIEW tickets_visibles_entreprise absente,"20251226170500_m06_fix_view_tickets_visibles_entreprise.sql, 20251226170500_m06_fix_view_tickets_visibles_entreprise_rollback.sql"
MIGRATION_NON_APPLIQUEE,20251226170600_m07_fix_rls_policy_entreprise,public,"Migration M07 présente dans supabase/migrations/ mais absente de migration_logs",HIGH,sécurité - Policy entreprise désynchronisée,"20251226170600_m07_fix_rls_policy_entreprise.sql, 20251226170600_m07_fix_rls_policy_entreprise_rollback.sql"
MIGRATION_NON_APPLIQUEE,20251226170700_m08_add_classification_columns,public,"Migration M08 présente dans supabase/migrations/ mais absente de migration_logs",MEDIUM,fonctionnel - colonnes sous_categorie/piece manquantes,"20251226170700_m08_add_classification_columns.sql, 20251226170700_m08_add_classification_columns_rollback.sql"
MIGRATION_NON_APPLIQUEE,20251226170800_m09_create_tickets_disponibilites,public,"Migration M09 présente dans supabase/migrations/ mais absente de migration_logs",BLOCKER,fonctionnel - table tickets_disponibilites manquante,"20251226170800_m09_create_tickets_disponibilites.sql, 20251226170800_m09_create_tickets_disponibilites_rollback.sql"
MIGRATION_NON_APPLIQUEE,20251226170900_m10_create_trigger_validate_disponibilites,public,"Migration M10 présente dans supabase/migrations/ mais absente de migration_logs",HIGH,fonctionnel - trigger validation disponibilités manquant,"20251226170900_m10_create_trigger_validate_disponibilites.sql, 20251226170900_m10_create_trigger_validate_disponibilites_rollback.sql"
MIGRATION_NON_APPLIQUEE,20251226171000_m11_harmonize_missions_montant_chf,public,"Migration M11 présente dans supabase/migrations/ mais absente de migration_logs",HIGH,fonctionnel - harmonisation missions.montant_reel_chf manquante,"20251226171000_m11_harmonize_missions_montant_chf.sql, 20251226171000_m11_harmonize_missions_montant_chf_rollback.sql"
MIGRATION_NON_APPLIQUEE,20251226171100_m13_secure_delete_tickets_rls,public,"Migration M13 présente dans supabase/migrations/ mais absente de migration_logs",HIGH,sécurité - Policy DELETE tickets manquante,"20251226171100_m13_secure_delete_tickets_rls.sql, 20251226171100_m13_secure_delete_tickets_rls_rollback.sql"
MIGRATION_NON_APPLIQUEE,20251226171200_m14_sync_mission_ticket_statut,public,"Migration M14 présente dans supabase/migrations/ mais absente de migration_logs",HIGH,fonctionnel - trigger sync mission/ticket manquant,"20251226171200_m14_sync_mission_ticket_statut.sql, 20251226171200_m14_sync_mission_ticket_statut_rollback.sql"
MIGRATION_NON_APPLIQUEE,20251226180000_m15_allow_null_priorite_plafond,public,"Migration M15 présente dans supabase/migrations/ mais absente de migration_logs",MEDIUM,fonctionnel - contraintes priorite/plafond désynchronisées,"20251226180000_m15_allow_null_priorite_plafond.sql, 20251226180000_m15_allow_null_priorite_plafond_rollback.sql"
MIGRATION_NON_APPLIQUEE,20251226181000_m16_add_ventilation_check,public,"Migration M16 présente dans supabase/migrations/ mais absente de migration_logs",LOW,fonctionnel - contrainte ventilation manquante,"20251226181000_m16_add_ventilation_check.sql, 20251226181000_m16_add_ventilation_check_rollback.sql"
MIGRATION_NON_APPLIQUEE,20251226190000_m17_fix_check_piece_case_insensitive,public,"Migration M17 présente dans supabase/migrations/ mais absente de migration_logs",LOW,fonctionnel - contrainte piece case insensitive manquante,"20251226190000_m17_fix_check_piece_case_insensitive.sql, 20251226190000_m17_fix_check_piece_case_insensitive_rollback.sql"
