table_schema,table_name,constraint_name,constraint_type
auth,audit_log_entries,16494_16525_5_not_null,CHECK
auth,audit_log_entries,audit_log_entries_pkey,PRIMARY KEY
auth,audit_log_entries,16494_16525_2_not_null,CHECK
auth,flow_state,flow_state_pkey,PRIMARY KEY
auth,flow_state,16494_16883_1_not_null,CHECK
auth,flow_state,16494_16883_11_not_null,CHECK
auth,flow_state,16494_16883_6_not_null,CHECK
auth,flow_state,16494_16883_5_not_null,CHECK
auth,flow_state,16494_16883_4_not_null,CHECK
auth,flow_state,16494_16883_3_not_null,CHECK
auth,identities,16494_16681_9_not_null,CHECK
auth,identities,16494_16681_3_not_null,CHECK
auth,identities,identities_provider_id_provider_unique,UNIQUE
auth,identities,identities_pkey,PRIMARY KEY
auth,identities,16494_16681_2_not_null,CHECK
auth,identities,16494_16681_1_not_null,CHECK
auth,identities,identities_user_id_fkey,FOREIGN KEY
auth,identities,16494_16681_4_not_null,CHECK
auth,instances,instances_pkey,PRIMARY KEY
auth,instances,16494_16518_1_not_null,CHECK
auth,mfa_amr_claims,16494_16770_1_not_null,CHECK
auth,mfa_amr_claims,mfa_amr_claims_session_id_authentication_method_pkey,UNIQUE
auth,mfa_amr_claims,mfa_amr_claims_session_id_fkey,FOREIGN KEY
auth,mfa_amr_claims,amr_id_pk,PRIMARY KEY
auth,mfa_amr_claims,16494_16770_2_not_null,CHECK
auth,mfa_amr_claims,16494_16770_3_not_null,CHECK
auth,mfa_amr_claims,16494_16770_4_not_null,CHECK
auth,mfa_amr_claims,16494_16770_5_not_null,CHECK
auth,mfa_challenges,16494_16758_2_not_null,CHECK
auth,mfa_challenges,mfa_challenges_auth_factor_id_fkey,FOREIGN KEY
auth,mfa_challenges,mfa_challenges_pkey,PRIMARY KEY
auth,mfa_challenges,16494_16758_5_not_null,CHECK
auth,mfa_challenges,16494_16758_3_not_null,CHECK
auth,mfa_challenges,16494_16758_1_not_null,CHECK
auth,mfa_factors,mfa_factors_last_challenged_at_key,UNIQUE
auth,mfa_factors,16494_16745_5_not_null,CHECK
auth,mfa_factors,16494_16745_7_not_null,CHECK
auth,mfa_factors,16494_16745_4_not_null,CHECK
auth,mfa_factors,16494_16745_2_not_null,CHECK
auth,mfa_factors,16494_16745_1_not_null,CHECK
auth,mfa_factors,mfa_factors_user_id_fkey,FOREIGN KEY
auth,mfa_factors,mfa_factors_pkey,PRIMARY KEY
auth,mfa_factors,16494_16745_6_not_null,CHECK
auth,oauth_authorizations,oauth_authorizations_scope_length,CHECK
auth,oauth_authorizations,oauth_authorizations_redirect_uri_length,CHECK
auth,oauth_authorizations,oauth_authorizations_state_length,CHECK
auth,oauth_authorizations,oauth_authorizations_resource_length,CHECK
auth,oauth_authorizations,oauth_authorizations_code_challenge_length,CHECK
auth,oauth_authorizations,oauth_authorizations_authorization_code_length,CHECK
