schema_name,table_name,trigger_name,enabled,trigger_definition
public,abonnements,trigger_abonnement_updated_at,O,CREATE TRIGGER trigger_abonnement_updated_at BEFORE UPDATE ON public.abonnements FOR EACH ROW EXECUTE FUNCTION update_abonnement_updated_at()
public,entreprises,set_updated_at_entreprises,O,CREATE TRIGGER set_updated_at_entreprises BEFORE UPDATE ON public.entreprises FOR EACH ROW EXECUTE FUNCTION handle_updated_at()
public,factures,facture_status_change_trigger,O,CREATE TRIGGER facture_status_change_trigger AFTER UPDATE ON public.factures FOR EACH ROW EXECUTE FUNCTION notify_facture_status_change()
public,factures,factures_updated_at,O,CREATE TRIGGER factures_updated_at BEFORE UPDATE ON public.factures FOR EACH ROW EXECUTE FUNCTION handle_updated_at()
public,immeubles,set_updated_at_immeubles,O,CREATE TRIGGER set_updated_at_immeubles BEFORE UPDATE ON public.immeubles FOR EACH ROW EXECUTE FUNCTION handle_updated_at()
public,locataires,set_updated_at_locataires,O,CREATE TRIGGER set_updated_at_locataires BEFORE UPDATE ON public.locataires FOR EACH ROW EXECUTE FUNCTION handle_updated_at()
public,logements,set_updated_at_logements,O,CREATE TRIGGER set_updated_at_logements BEFORE UPDATE ON public.logements FOR EACH ROW EXECUTE FUNCTION handle_updated_at()
public,missions,mission_status_change,O,CREATE TRIGGER mission_status_change AFTER UPDATE ON public.missions FOR EACH ROW WHEN ((old.statut IS DISTINCT FROM new.statut)) EXECUTE FUNCTION notify_mission_status_change()
public,missions,mission_status_change_notification,O,CREATE TRIGGER mission_status_change_notification AFTER UPDATE ON public.missions FOR EACH ROW EXECUTE FUNCTION notify_mission_status_change_extended()
public,missions,missions_updated_at,O,CREATE TRIGGER missions_updated_at BEFORE UPDATE ON public.missions FOR EACH ROW EXECUTE FUNCTION update_missions_updated_at()
public,missions,technicien_assignment_notification,O,CREATE TRIGGER technicien_assignment_notification AFTER UPDATE ON public.missions FOR EACH ROW EXECUTE FUNCTION notify_technicien_assignment()
public,missions,trigger_sync_ticket_statut_from_mission,O,CREATE TRIGGER trigger_sync_ticket_statut_from_mission AFTER UPDATE OF statut ON public.missions FOR EACH ROW EXECUTE FUNCTION sync_ticket_statut_from_mission()
public,plans,trigger_plan_updated_at,O,CREATE TRIGGER trigger_plan_updated_at BEFORE UPDATE ON public.plans FOR EACH ROW EXECUTE FUNCTION update_plan_updated_at()
public,profiles,on_profile_updated,O,CREATE TRIGGER on_profile_updated BEFORE UPDATE ON public.profiles FOR EACH ROW EXECUTE FUNCTION handle_updated_at()
public,profiles,trigger_prevent_role_self_escalation,O,CREATE TRIGGER trigger_prevent_role_self_escalation BEFORE UPDATE ON public.profiles FOR EACH ROW EXECUTE FUNCTION prevent_role_self_escalation()
public,regies,set_updated_at_regies,O,CREATE TRIGGER set_updated_at_regies BEFORE UPDATE ON public.regies FOR EACH ROW EXECUTE FUNCTION handle_updated_at()
public,regies_entreprises,set_updated_at_regies_entreprises,O,CREATE TRIGGER set_updated_at_regies_entreprises BEFORE UPDATE ON public.regies_entreprises FOR EACH ROW EXECUTE FUNCTION handle_updated_at()
public,techniciens,techniciens_updated_at,O,CREATE TRIGGER techniciens_updated_at BEFORE UPDATE ON public.techniciens FOR EACH ROW EXECUTE FUNCTION update_techniciens_updated_at()
public,tickets,ensure_locataire_has_logement_before_ticket,O,CREATE TRIGGER ensure_locataire_has_logement_before_ticket BEFORE INSERT ON public.tickets FOR EACH ROW EXECUTE FUNCTION check_locataire_has_logement_for_ticket()
public,tickets,new_ticket_notification,O,CREATE TRIGGER new_ticket_notification AFTER INSERT ON public.tickets FOR EACH ROW EXECUTE FUNCTION notify_new_ticket()
public,tickets,set_ticket_regie_id_trigger,O,CREATE TRIGGER set_ticket_regie_id_trigger BEFORE INSERT ON public.tickets FOR EACH ROW EXECUTE FUNCTION set_ticket_regie_id()
public,tickets,set_updated_at_tickets,O,CREATE TRIGGER set_updated_at_tickets BEFORE UPDATE ON public.tickets FOR EACH ROW EXECUTE FUNCTION handle_updated_at()
public,tickets,trigger_check_disponibilites_before_diffusion,O,CREATE TRIGGER trigger_check_disponibilites_before_diffusion BEFORE UPDATE OF statut ON public.tickets FOR EACH ROW EXECUTE FUNCTION check_disponibilites_before_diffusion()
