grantee,routine_schema,routine_name,privilege_type
PUBLIC,auth,email,EXECUTE
PUBLIC,auth,jwt,EXECUTE
postgres,auth,jwt,EXECUTE
PUBLIC,auth,role,EXECUTE
PUBLIC,auth,uid,EXECUTE
PUBLIC,extensions,armor,EXECUTE
PUBLIC,extensions,armor,EXECUTE
dashboard_user,extensions,armor,EXECUTE
dashboard_user,extensions,armor,EXECUTE
postgres,extensions,armor,EXECUTE
postgres,extensions,armor,EXECUTE
PUBLIC,extensions,crypt,EXECUTE
dashboard_user,extensions,crypt,EXECUTE
postgres,extensions,crypt,EXECUTE
PUBLIC,extensions,dearmor,EXECUTE
dashboard_user,extensions,dearmor,EXECUTE
postgres,extensions,dearmor,EXECUTE
PUBLIC,extensions,decrypt,EXECUTE
dashboard_user,extensions,decrypt,EXECUTE
postgres,extensions,decrypt,EXECUTE
PUBLIC,extensions,decrypt_iv,EXECUTE
dashboard_user,extensions,decrypt_iv,EXECUTE
postgres,extensions,decrypt_iv,EXECUTE
PUBLIC,extensions,digest,EXECUTE
PUBLIC,extensions,digest,EXECUTE
dashboard_user,extensions,digest,EXECUTE
dashboard_user,extensions,digest,EXECUTE
postgres,extensions,digest,EXECUTE
postgres,extensions,digest,EXECUTE
PUBLIC,extensions,encrypt,EXECUTE
dashboard_user,extensions,encrypt,EXECUTE
postgres,extensions,encrypt,EXECUTE
PUBLIC,extensions,encrypt_iv,EXECUTE
dashboard_user,extensions,encrypt_iv,EXECUTE
postgres,extensions,encrypt_iv,EXECUTE
PUBLIC,extensions,gen_random_bytes,EXECUTE
dashboard_user,extensions,gen_random_bytes,EXECUTE
postgres,extensions,gen_random_bytes,EXECUTE
PUBLIC,extensions,gen_random_uuid,EXECUTE
dashboard_user,extensions,gen_random_uuid,EXECUTE
postgres,extensions,gen_random_uuid,EXECUTE
PUBLIC,extensions,gen_salt,EXECUTE
PUBLIC,extensions,gen_salt,EXECUTE
dashboard_user,extensions,gen_salt,EXECUTE
dashboard_user,extensions,gen_salt,EXECUTE
postgres,extensions,gen_salt,EXECUTE
postgres,extensions,gen_salt,EXECUTE
PUBLIC,extensions,grant_pg_cron_access,EXECUTE
PUBLIC,extensions,grant_pg_graphql_access,EXECUTE
postgres,extensions,grant_pg_graphql_access,EXECUTE
PUBLIC,extensions,grant_pg_net_access,EXECUTE
PUBLIC,extensions,hmac,EXECUTE
PUBLIC,extensions,hmac,EXECUTE
dashboard_user,extensions,hmac,EXECUTE
dashboard_user,extensions,hmac,EXECUTE
postgres,extensions,hmac,EXECUTE
postgres,extensions,hmac,EXECUTE
PUBLIC,extensions,pg_stat_statements,EXECUTE
dashboard_user,extensions,pg_stat_statements,EXECUTE
postgres,extensions,pg_stat_statements,EXECUTE
PUBLIC,extensions,pg_stat_statements_info,EXECUTE
dashboard_user,extensions,pg_stat_statements_info,EXECUTE
postgres,extensions,pg_stat_statements_info,EXECUTE
dashboard_user,extensions,pg_stat_statements_reset,EXECUTE
postgres,extensions,pg_stat_statements_reset,EXECUTE
PUBLIC,extensions,pgp_armor_headers,EXECUTE
dashboard_user,extensions,pgp_armor_headers,EXECUTE
postgres,extensions,pgp_armor_headers,EXECUTE
PUBLIC,extensions,pgp_key_id,EXECUTE
dashboard_user,extensions,pgp_key_id,EXECUTE
postgres,extensions,pgp_key_id,EXECUTE
PUBLIC,extensions,pgp_pub_decrypt,EXECUTE
PUBLIC,extensions,pgp_pub_decrypt,EXECUTE
PUBLIC,extensions,pgp_pub_decrypt,EXECUTE
dashboard_user,extensions,pgp_pub_decrypt,EXECUTE
dashboard_user,extensions,pgp_pub_decrypt,EXECUTE
dashboard_user,extensions,pgp_pub_decrypt,EXECUTE
postgres,extensions,pgp_pub_decrypt,EXECUTE
postgres,extensions,pgp_pub_decrypt,EXECUTE
postgres,extensions,pgp_pub_decrypt,EXECUTE
PUBLIC,extensions,pgp_pub_decrypt_bytea,EXECUTE
PUBLIC,extensions,pgp_pub_decrypt_bytea,EXECUTE
PUBLIC,extensions,pgp_pub_decrypt_bytea,EXECUTE
dashboard_user,extensions,pgp_pub_decrypt_bytea,EXECUTE
dashboard_user,extensions,pgp_pub_decrypt_bytea,EXECUTE
dashboard_user,extensions,pgp_pub_decrypt_bytea,EXECUTE
postgres,extensions,pgp_pub_decrypt_bytea,EXECUTE
postgres,extensions,pgp_pub_decrypt_bytea,EXECUTE
postgres,extensions,pgp_pub_decrypt_bytea,EXECUTE
PUBLIC,extensions,pgp_pub_encrypt,EXECUTE
PUBLIC,extensions,pgp_pub_encrypt,EXECUTE
dashboard_user,extensions,pgp_pub_encrypt,EXECUTE
dashboard_user,extensions,pgp_pub_encrypt,EXECUTE
postgres,extensions,pgp_pub_encrypt,EXECUTE
postgres,extensions,pgp_pub_encrypt,EXECUTE
PUBLIC,extensions,pgp_pub_encrypt_bytea,EXECUTE
PUBLIC,extensions,pgp_pub_encrypt_bytea,EXECUTE
dashboard_user,extensions,pgp_pub_encrypt_bytea,EXECUTE
dashboard_user,extensions,pgp_pub_encrypt_bytea,EXECUTE
postgres,extensions,pgp_pub_encrypt_bytea,EXECUTE
postgres,extensions,pgp_pub_encrypt_bytea,EXECUTE
PUBLIC,extensions,pgp_sym_decrypt,EXECUTE
