table_name,column_name,data_type,is_nullable
abonnements,id,uuid,NO
abonnements,entreprise_id,uuid,YES
abonnements,regie_id,uuid,YES
abonnements,plan_id,uuid,NO
abonnements,type_periode,character varying,NO
abonnements,date_debut,date,NO
abonnements,date_fin,date,NO
abonnements,statut,character varying,NO
abonnements,montant_paye,numeric,NO
abonnements,date_prochain_paiement,date,YES
abonnements,missions_ce_mois,integer,YES
abonnements,dernier_reset_quota,date,YES
abonnements,created_at,timestamp with time zone,YES
abonnements,updated_at,timestamp with time zone,YES
abonnements_stats,plan_nom,character varying,YES
abonnements_stats,nom_affichage,character varying,YES
abonnements_stats,nombre_abonnements,bigint,YES
abonnements_stats,abonnements_actifs,bigint,YES
abonnements_stats,abonnements_mensuels,bigint,YES
abonnements_stats,abonnements_annuels,bigint,YES
abonnements_stats,mrr_mensuel,numeric,YES
abonnements_stats,mrr_annuel,numeric,YES
abonnements_stats,mrr_total,numeric,YES
admin_agences_en_attente,id,uuid,YES
admin_agences_en_attente,nom_agence,text,YES
admin_agences_en_attente,email,text,YES
admin_agences_en_attente,siret,text,YES
admin_agences_en_attente,nb_collaborateurs,integer,YES
admin_agences_en_attente,nb_logements_geres,integer,YES
admin_agences_en_attente,statut_validation,text,YES
admin_agences_en_attente,date_inscription,timestamp with time zone,YES
admin_agences_en_attente,email_contact,text,YES
admin_agences_en_attente,language,text,YES
admin_dashboard,total_regies,bigint,YES
admin_dashboard,regies_30_jours,bigint,YES
admin_dashboard,total_immeubles,bigint,YES
admin_dashboard,immeubles_30_jours,bigint,YES
admin_dashboard,total_logements,bigint,YES
admin_dashboard,logements_30_jours,bigint,YES
admin_dashboard,total_locataires,bigint,YES
admin_dashboard,locataires_30_jours,bigint,YES
admin_dashboard,total_tickets,bigint,YES
admin_dashboard,tickets_30_jours,bigint,YES
admin_dashboard,tickets_ouverts,bigint,YES
admin_dashboard,tickets_en_cours,bigint,YES
admin_dashboard,tickets_termines,bigint,YES
