constraint_name,table_name,column_name,references_table,references_column
abonnements_plan_id_fkey,abonnements,plan_id,plans,id
abonnements_entreprise_id_fkey,abonnements,entreprise_id,entreprises,id
abonnements_regie_id_fkey,abonnements,regie_id,regies,id
entreprises_profile_id_fkey,entreprises,profile_id,profiles,id
factures_entreprise_id_fkey,factures,entreprise_id,entreprises,id
factures_regie_id_fkey,factures,regie_id,regies,id
factures_mission_id_fkey,factures,mission_id,missions,id
immeubles_regie_id_fkey,immeubles,regie_id,regies,id
locataires_logement_id_fkey,locataires,logement_id,logements,id
locataires_profile_id_fkey,locataires,profile_id,profiles,id
fk_locataires_regie,locataires,regie_id,regies,id
logements_immeuble_id_fkey,logements,immeuble_id,immeubles,id
fk_logements_regie_id,logements,regie_id,regies,id
messages_mission_id_fkey,messages,mission_id,missions,id
missions_technicien_id_fkey,missions,technicien_id,techniciens,id
missions_ticket_id_fkey,missions,ticket_id,tickets,id
missions_entreprise_id_fkey,missions,entreprise_id,entreprises,id
notifications_related_facture_id_fkey,notifications,related_facture_id,factures,id
notifications_related_message_id_fkey,notifications,related_message_id,messages,id
notifications_related_mission_id_fkey,notifications,related_mission_id,missions,id
notifications_related_ticket_id_fkey,notifications,related_ticket_id,tickets,id
fk_profiles_regie,profiles,regie_id,regies,id
regies_admin_validateur_id_fkey,regies,admin_validateur_id,profiles,id
regies_profile_id_fkey,regies,profile_id,profiles,id
regies_entreprises_entreprise_id_fkey,regies_entreprises,entreprise_id,entreprises,id
regies_entreprises_regie_id_fkey,regies_entreprises,regie_id,regies,id
techniciens_entreprise_id_fkey,techniciens,entreprise_id,entreprises,id
tickets_locataire_id_fkey,tickets,locataire_id,locataires,id
tickets_entreprise_id_fkey,tickets,entreprise_id,entreprises,id
tickets_technicien_id_fkey,tickets,technicien_id,techniciens,id
tickets_logement_id_fkey,tickets,logement_id,logements,id
